Learning Objective,Competency Code,Knowledge / Skills Statement,Session,Training
"Identify strategies for addressing trauma with workers. (1s, 1t)",Demonstrates the capacity to recognize and respond to secondary trauma in agency caseworkers. (K); Understands the skill set needed and can provide support (including referral for services) to staff experiencing secondary trauma and promote agency-wide understanding of the effects of secondary trauma. (K&S),Knowledge; Knowledge & Skills,1,3
"Identify strategies to use while transitioning into a supervisory role. (7a, 7i)","Describes and evaluates own performance in terms that reflect recognition of personal strengths and challenges. (K&S); Engages with superiors, supervisees and mentors in an appropriate fashion. (S)",Knowledge & Skills; Skill,1,2
"Identify techniques to assessing staff’s ability to receive supervision (1l, 1n, 2k)","Understands how the skills listed within the practice model support positive outcomes for children, youth, and families and is capable of assessing their staff in terms of these skills. (K&S); Uses listening and observation to anticipate and prepare for others’ reactions. (K&S); Shows the ability to manage the employee appraisal process, to use competencies in performance planning, and to assess employee performance. (K&S)",Knowledge & Skills; Knowledge & Skills; Knowledge & Skills,2,2
Identify the core values of MN CW Framework for Competent CW Practice. (page 2 of Framework),,,1,1
Identify the importance of a welcoming climate & Identify at least two tools to help orient new workers,,,2,1
Identify the importance of personal professional development,,,2,1
"Identify ways to build a supportive team environment. (2b, 8b)","Understands and appreciates the different views, expertise and experience of others; understands the perspectives and limitations of other individuals and systems. (K); Recognizes when a decision is required and makes timely decisions based on available data. (K&S)",Knowledge; Knowledge & Skills,1,2
Identify ways to foster a supportive team dynamic. (6f),Identifies and implements methods to increase effective intercultural understanding. (K&S),Knowledge & Skills,1,1
"List problem-solving responses to performance concerns (2j, 2k, 2l)","Shows the ability to manage, as appropriate, the hiring, selection, and termination process. (K&S); Shows the ability to manage the employee appraisal process, to use competencies in performance planning, and to assess employee performance. (K&S); Demonstrates the ability to identify employee performance problems and apply principles of progressive discipline. (S)",Knowledge & Skills; Knowledge & Skills; Skill,2,2
Practice coaching workers to make critical decisions,,,2,3
"Recognize four fundamental essentials of employees. (1c, 1n, 1w, 4e)","Understands factors that motivate performance and can use this information to assist staff performance improvement. (K&S); Uses listening and observation to anticipate and prepare for others’ reactions. (K&S); Discerns the strengths, needs, challenges, and feelings of others and offers appropriate support to colleagues/supervisees. (K&S); Modifies leadership style to meet situational requirements. (K&S)",Knowledge & Skills; Knowledge & Skills; Knowledge & Skills; Knowledge & Skills,1,2
Recognize that preferences can lead to biases,,,2,1
"Recognize the importance of decision-making. (8f, 8j, 1o)","Reaches sound conclusions and makes reasonable decisions based on available information. (K&S); Identifies and confronts bias as it relates to decision making. (K&S); Understands how staff members’ attitudes, needs, behaviors, personal preferences, work style, beliefs, gender, and cultural backgrounds may influence perceptions and performance. (K)",Knowledge & Skills; Knowledge & Skills; Knowledge,1,3
Recognize the role of assessment in devising effective safety plans,,,2,3
Reflect on strategies that enhance team cohesion. (4j),Demonstrates the group process skills needed for diverse groups to work together effectively to achieve a common goal. (K&S),Knowledge & Skills,1,2
"Reflect on the significance of effective listening. (1m, 1n, 4e)","Understands the value of supporting expression, and can recognize emotion-laden issues or situations and handle them with sensitivity. (S); Uses listening and observation to anticipate and prepare for others’ reactions. (K&S); Modifies leadership style to meet situational requirements. (K&S)",Skill; Knowledge & Skills; Knowledge & Skills,1,2
Utilize assessments to challenge biased reactions,,,2,3
"Utilize conflict management skills in a role-play. (4c-d, 4k-l)","Works with others to find a win/win resolution of differences whenever possible. (S); Shows awareness of how management style impacts staff productivity and development. (K); Recognizes the complexities inherent in conflict, including aspects of direct child welfare practice, and proactively engages others in conflict resolution. (K&S); Understands the concepts of team development, facilitation of effective meetings, and conflict management. (K)",Skills; Knowledge; Knowledge and Skills; Knowledge,4,1
"Utilize performance management skills in a role-play. (1m-n, 1p, 1ee, 4d, 4k-l, 8c)","Understands the value of supporting expression, and can recognize emotion-laden issues or situations and handle them with sensitivity. (S); Uses listening and observation to anticipate and prepare for others’ reactions. (K&S); Recognizes when a worker’s emotional responses and/or judgment interfere with the casework process and can empower the worker to identify and examine these reactions. (K&S); Demonstrates knowledge regarding organization and management development theory; the role of power and authority; the operation of effective organizations and the dynamics of organization change. (K); Shows awareness of how management style impacts staff productivity and development. (K); Recognizes the complexities inherent in conflict, including aspects of direct child welfare practice, and proactively engages others in conflict resolution. (K&S); Understands the concepts of team development, facilitation of effective meetings, and conflict management. (K); Maintains and/or explains positions when under pressure from others, confronting resistance if necessary. (K&S)",Skills; Knowledge and Skills; Knowledge & Skills; Knowledge; Knowledge; Knowledge and Skills; Knowledge; Knowledge & Skills,4,1
