Competency Code,Competency Description,Worker Competency,Supervisor Competency,Competencies,Knowledge / Skill Statement
4b,Identifies resilience and other protective factors that act to preserve the family and protect the child. (K),Assessment,NA,Assessment,Knowledge
4c,"Recognizes awnd accurately identifies the physical and behavioral indicators of abuse, family violence and neglect, and can assess the dynamics underlying these behaviors. (K)",Assessment,NA,Assessment,Knowledge
4d,"Integrates knowledge of individual, family and cultural dynamics, and recognizes signs and symptoms of at-risk behaviors including chemical health and domestic violence in children/youth and adults, and assess their impact. (K&S)",Assessment,NA,Assessment,Knowledge & Skills
4e,"Demonstrates understanding and an ability to integrate into an assessment the strengths perspective, protective factors, and empowerment approaches and understands how they can positively influence growth, development and behavior change. (K&S)",Assessment,NA,Assessment,Knowledge & Skills
4f,"Gathers, assesses, analyzes and presents pertinent information from interviews, case records, and collateral sources when evaluating an abuse or neglect allegation, making assessments, effective referrals for services or further evaluation. (S)",Assessment,NA,Assessment,Skill
4g,"Summarizes the features of mandated mental health screenings and other standardized children’s mental health assessments, including developmental assessments for children birth to 3; trauma-informed screening and effective evidence-based assessment instruments. (K)",Partnering,NA,Partnering,Knowledge
4h,Demonstrates the ability to perform a preliminary safety assessment and to monitor the safety of the child through ongoing assessment of risk. (S),Assessment,NA,Assessment,Skill
4i,"Demonstrates an understanding of basic child development and how developmental level affects a child’s perception of events, coping strategies, and physical and psychological responses to stress and trauma. (K)",Assessment,NA,Assessment,Knowledge
4j,Understands the importance of collaboration with tribal social workers to ensure the assessment integrates the prevailing cultural standards of the tribes. (K),Assessment,NA,Assessment,Knowledge
4k,Identifies a variety of informant sources to be engaged during the assessment process. (S),Assessment,NA,Assessment,Skill
4l,Demonstrates the ability to assess the effects of family transitions and the potential impact of becoming a “client” of the child welfare system. (S),Assessment,NA,Assessment,Skill
4m,Demonstrates understanding and ability to integrate the dynamics and effects of trauma into an assessment. (K&S),Assessment,NA,Assessment,Knowledge & Skills
4n,References the Diagnostic and Statistical Manual of Mental Disorders (DSM) as a tool in the assessment process where appropriate. (K&S),Assessment,NA,Assessment,Knowledge & Skills
4o,"Reads, critically considers, and applies results from an adult or child mental health assessment. (S)",Assessment,NA,Assessment,Skill
4p,"Demonstrates the ability to recognize and assess potential for violence, suicide, and complex psychological difficulties. (S)",Assessment,NA,Assessment,Skill
4q,"Identifies and demonstrates a variety of interviewing techniques used with children, youth and families for assessment, service planning, intervention and forensic purposes. (S)",Assessment,NA,Assessment,Skill
4r,"Demonstrates the ability to conduct various types of assessments using standardized instruments including: risk, safety, psychosocial, strengths and needs assessment. (S)",Assessment,NA,Assessment,Skill
4s,Considers the trauma of removal and its historical context for American Indian families and uses active efforts to prevent out of home placement. (K&S),Assessment,NA,Assessment,Knowledge & Skills
5a,Understands and demonstrates the ability to develop a safety plan with the family based upon information gathered during assessment. (K & S),Case Planning in Child Welfare,NA,Case Planning in Child Welfare,Knowledge
5b,"Understands and demonstrates the ability to develop a case plan with the family (and tribe), in the family’s language, using strengths-based, family-centered, person-in-environment perspectives, and seeks opportunities to include family choices as a means of promoting empowerment while focusing on child safety. (K & S)",Case Planning in Child Welfare,NA,Case Planning in Child Welfare,Knowledge
5c,"Articulates with the family the effects of maltreatment and historical trauma, and the behaviors or conditions contributing to its risk. (S)",Case Planning in Child Welfare,NA,Case Planning in Child Welfare,Skill
5d,"Develops a case plan (taking into account legal requirements, tribal recommendations and related policies) for effectively serving and making decisions regarding children and parents with special needs and disabilities. (S)",Case Planning in Child Welfare,NA,Case Planning in Child Welfare,Skill
5e,"Understands the requirements of the Indian Child Welfare Act, Minnesota Indian Family Protection Act, and the Multiethnic Placement Act and applies those provisions in working with tribal representatives, agencies, legal entities and families to create appropriate case plans. (K&S)",Case Planning in Child Welfare,NA,Case Planning in Child Welfare,Knowledge & Skills
5f,"Demonstrates the ability to identify service/treatment plan requirements and to construct behaviorally-based, measureable objectives for successful outcomes with the family so the family knows when the goals are achieved. (K&S)",Case Planning in Child Welfare,NA,Case Planning in Child Welfare,Knowledge & Skills
5g,"Understands the principles of concurrent and permanency planning, as well as placement procedures under the Indian Child Welfare Act, and is able to integrate those principles into a case plan, taking into account the developmental, educational, health, placement preferences under ICWA and MIFPA, and emotional needs of children. (K&S)",Case Planning in Child Welfare,NA,Case Planning in Child Welfare,Knowledge & Skills
5h,"Understands the difference between reasonable versus active efforts, and when to apply each, recognizing that active efforts must be used in cases involving American Indian children (K&S)",Case Planning in Child Welfare,NA,Case Planning in Child Welfare,Knowledge & Skills
5i,"Applies theories of human development and attachment with the understanding of how trauma interrupts those processes, as well as cultural differences about the meaning of attachment, workers create and manage effective case plans with children and families. (K&S)",Case Planning in Child Welfare,NA,Case Planning in Child Welfare,Knowledge & Skills
5j,Demonstrates an understanding of pre-placement preventive services and constructs supportive systems for children and families that may include referral to and collaboration with multiple agencies and disciplines. (K),Case Planning in Child Welfare,NA,Case Planning in Child Welfare,Knowledge
5k,"Demonstrates knowledge of after-care services and skill in developing a transition and independent living plan with a foster youth that addresses educational, housing, health care, transportation, money management, social and recreational issues, and establishing connections with the child’s family, tribe and community. (K&S)",Case Planning in Child Welfare,NA,Case Planning in Child Welfare,Knowledge & Skills
6a,"Utilizes engagement and assessment skills to maintain and develop an ongoing, productive and respectful relationship with children, youth, families, tribes, and the effective, ethical and identified safety network. (S)",Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Skill
6b,"Demonstrates understanding of processes for identifying resources, making appropriate service referrals, and constructing measurable recommendations for behavioral change in order to implement a case plan. (K)",Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Knowledge
6c,"Demonstrates an ability to understand and present permanency preferences for children and youth, including, when appropriate, kinship care and adoption services with careful transition planning. (S)",Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Skill
6d,Demonstrates the ability to monitor implemented strategies and to follow legal standards for case reviews appropriate to the practice setting in order to achieve case plan goals and make adjustments as necessary. (S),Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Skill
6e,"Demonstrates the ability to develop and/or maintain informal and formal community and social supports, including tribal networks. (K&S)",Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Knowledge & Skills
6f,"Understands the importance of maintaining connections with biological and extended family and supporting the foster, kinship and/or adoptive family to facilitate this as deemed in the child’s best interest. (K)",Implementing Child Welfare Services,NA,Implementing Child Welfare Services,Knowledge
